Sentence,Aspect Term,Polarity
"Once open, the leading edge is razor sharp.",leading edge,Negative
Loaded with bloatware.,bloatware,Negative
Maximum sound isn't nearly as loud as it should be.,Maximum sound,Negative
I loaded windows 7 via Bootcamp and it works flawlessly!,windows 7,Positive
I loaded windows 7 via Bootcamp and it works flawlessly!,Bootcamp,Positive
"Great Laptop for the price, works well with action pack games.",price,Positive
"Great Laptop for the price, works well with action pack games.",action pack games,Positive
"Great Laptop for the price, works well with action pack games.",works,Positive
"Although the price is higher then Dell laptops, the Macbooks are worth the dough.",price,Negative
I would not recommend this to anyone wanting a notebook expecting the performance of a Desktop it does not meet the expectations.,performance,Negative
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",twin packing,Positive
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",functions,Positive
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",twin packing,Positive
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",functions,Positive
So what if the laptops/mobile phones look chic and cool? The after sales support is terrible.,after sales support,Negative
So what if the laptops/mobile phones look chic and cool? The after sales support is terrible.,look,Positive
I hate the display screen and I have done everything I could do the change it.,display screen,Negative
I also like the acer arcade but these were reallythe only two things I liked about this laptop.,acer arcade,Positive
"Have not yet needed any customer support with this yet so to me that is a great thing, which is leaps and bounds ahead of PC in my opinion.",customer support,Neutral
"I gave it to my daughter because I just hated the screen, hated that it had no cd drive to at least play cd's when I wanted to listen to music and do schoolwork.",screen,Negative
"I gave it to my daughter because I just hated the screen, hated that it had no cd drive to at least play cd's when I wanted to listen to music and do schoolwork.",cd drive,Negative
It runs very quiet too which is a plus.,runs,Positive
but it  has a major design flaw.,design,Negative
"It was heavy,bulky, and hard to carry because of the size.",size,Negative
The games included are very good games.,games,Positive
The games included are very good games.,games,Positive
"this computer will last you at least 7 years, thats an amazing life spanned an electronic.",life,Positive
I had something else go wrong and they said it had to be in good working order to be able to buy the warranty.,warranty,Negative
Sometimes you really have to tap the pad to get it to worki,pad,Negative
It's super fast and a great value for the price!,value,Positive
It's super fast and a great value for the price!,price,Positive
"Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.",system performance,Positive
"Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.",linux based os,Negative
A mac is very easy to use and it simply makes sense.,use,Positive
"however, I may have inadvertently thrown out one of the batteries with the shipping carton.",batteries,Neutral
"however, I may have inadvertently thrown out one of the batteries with the shipping carton.",shipping carton,Neutral
It is so much easier to use,use,Positive
There is no need to open a program first and the cliick open or import.,program,Neutral
It is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on PC's.,virus protection,Negative
"Three weeks after I bought the netbook, the screen quit working.",screen,Negative
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",processor,Positive
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",OSX 16,Positive
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",graphics,Neutral
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",hardware,Neutral
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",software,Neutral
I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.,Intel Core processors,Neutral
I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.,HDMI port,Neutral
"The Apple will run Internet Explorer, but at an amazingly slow rate.",Internet Explorer,Negative
"With today's company fighting over marketshare, its a shame that ASUS can get away with the inept staff answering thephone.",staff,Negative
"The price premium is a little much, but when you start looking at the features it is worth the added cash.",price premium,Negative
"The price premium is a little much, but when you start looking at the features it is worth the added cash.",features,Positive
I can't say enough of how satisfied I am with their product and help aftermarket.,product and help aftermarket,Positive
Microsoft word was not on it andI had to buy it seperately.,Microsoft word,Negative
"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",usb ports,Neutral
"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",sd memory card reader,Neutral
"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",sd memory car expansion,Neutral
"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",LaCie 2Big external drive,Neutral
"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",firewire 800 interface,Positive
"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",Time Machine,Neutral
"My Toshiba did not have sound on everything, just certain things.",sound,Negative
"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",extra features,Positive
"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",windows 7 home premium,Positive
The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,Acer screen,Negative
The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,USB port,Negative
The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,boot,Negative
The battery life was shorter than expected.,battery life,Negative
It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.,fires up,Positive
The keyboard is top notch.,keyboard,Positive
It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.,software,Negative
The online tutorial videos make it super easy to learn if you have always used a PC.,online tutorial videos,Positive
"The image is great, and the soud is excelent.",image,Positive
"The image is great, and the soud is excelent.",soud,Positive
With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,windows,Negative
With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,boot up,Positive
With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,shut down,Positive
With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,windows,Negative
It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.,Mac OS,Positive
It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.,use,Positive
"It is well worth the money it cost, Very good investment.",cost,Positive
"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Starter,Positive
"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Home Premium,Positive
"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Professional,Positive
This computer had exactly the specifications I needed.,specifications,Positive
My kids (and dogs) destroyed two power cords by pulling on them.,power cords,Neutral
"I had upgraded my old MacBook to Lion, so I kind of knew what I was getting, but hadn't been able to enjoy some of the awesome new multi-touch features.",multi-touch features,Positive
"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",screen,Negative
"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",clicking buttons,Negative
"Not to mention, the battery life is absolutely amazing.",battery life,Positive
Windows also shuts the computer down for no reason without warning.,Windows,Negative
not using wired lan not sure what thats about.,wired lan,Neutral
The macbook rarely requires a hard reboot.,hard reboot,Positive
Now for the hardware problems.,hardware,Negative
Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.,hard drive,Negative
It's fast and has excellent battery life.,battery life,Positive
Apple care included.,Apple care,Positive
Features like the font are very block-like and old school.,font,Negative
Features like the font are very block-like and old school.,Features,Negative
"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",programs,Negative
"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",run,Negative
"I feel that it was poorly put together, because once in a while different plasticÂ piecesÂ would come off of it.",plasticÂ pieces,Negative
"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.",2GB RAM stick,Neutral
Windows is also rather unsteady on its feet and is susceptible to many bugs.,Windows,Negative
"After sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish, I broke down and spent another $100 to get Microsoft Word for Mac.",Microsoft Word for Mac,Negative
DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.,WARRANTY COMPANY,Negative
then on top of it all their cusromer service center is in the middle east.,cusromer service center,Negative
The only bad part is the size/weight.,size,Negative
The only bad part is the size/weight.,weight,Negative
The little battery that it did have would only last about an hour while just having it on the desktop.,battery,Negative
I liked the aluminum body.,aluminum body,Positive
Its good for playing my apps on Facebook or watching movies.,watching movies,Positive
Its good for playing my apps on Facebook or watching movies.,playing,Positive
"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",build quality,Negative
"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",performance,Negative
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",dock,Positive
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",program,Neutral
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",program,Neutral
pretty much everything else about the computer is good it just stops working out of no were.,working,Negative
It was truly a great computer costing less than one thousand bucks before tax.,costing,Positive
"Waiting for the i7 was well worth it, great value for the price.",price,Positive
"Waiting for the i7 was well worth it, great value for the price.",i7,Positive
"Now,,,,,my monitor has been acting up for about 2 months.",monitor,Negative
"Also, the extended warranty was a problem.",extended warranty,Negative
Boots up fast and runs great!,Boots up,Positive
Boots up fast and runs great!,runs,Positive
Lightweight and the screen is beautiful!,screen,Positive
I needed a driver for my HP and they would not help me with out me paying over $50 for it.,driver,Negative
"Call tech support, standard email the form and fax it back in to us.",tech support,Negative
They sent it back with a huge crack in it and it still didn't work.,work,Negative
"Â A coupla months later, they change my hard drive.",hard drive,Negative
They say sorry out of warranty.,warranty,Negative
I bought this laptop because of the performance to price ratio.,performance,Positive
I bought this laptop because of the performance to price ratio.,price,Positive
PC never worked right even after BIOS fixed.,BIOS,Negative
"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",design,Positive
"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",tech issues,Positive
The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,size,Positive
The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,space,Negative
The service I received from Toshiba went above and beyond the call of duty.,service,Positive
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",memory,Positive
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",speed,Positive
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",priced,Negative
I would recommend it just because of the internet speed probably because thats the only thing i really care about.,internet speed,Positive
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",programs,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Garageband,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Photo Booth,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iPhoto,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iMovie,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",video-editing,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",movie-making,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",photo management,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",music,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Pages,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Numbers,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Keynote,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",school or office use,Neutral
The screen shows great colors.,screen,Positive
The screen shows great colors.,colors,Positive
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value,Positive
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",price,Positive
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value,Positive
"I have no idea how to burn cd's or to use the web cam, just for starters.",web cam,Negative
"I have no idea how to burn cd's or to use the web cam, just for starters.",burn cd's,Negative
"The 17 inch screen is very large, but the computer is very light.",17 inch screen,Positive
"Â  My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.",support,Negative
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Bluetooth,Negative
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Drivers/Applications DVD,Neutral
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Launch Manager,Neutral
I also liked the glass screen.,glass screen,Positive
The switchable graphic card is pretty sweet when you want gaming on the laptop.,switchable graphic card,Positive
The switchable graphic card is pretty sweet when you want gaming on the laptop.,gaming,Positive
"It's not a wear-and-tear issue, not due to user carelessness and most importantly, they CAN'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome.",service,Negative
"The battery life has not decreased since I bought it, so i'm thrilled with that.",battery life,Positive
"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",technical support,Negative
I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR.,BOOT MGR,Negative
Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,recovery cd,Negative
The price and features more than met my needs.,price,Positive
The price and features more than met my needs.,features,Positive
Skype is just so dang cool with this machine too.,Skype,Positive
the mouse buttons are hard to push.,mouse buttons,Negative
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",HDD,Negative
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",rails,Negative
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",hard drive,Negative
All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.,quality,Positive
"(Beware, their staff could send you back making you feel that only they know what a computer is.",staff,Negative
Games being the main issue.,Games,Negative
My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.,GarageBand,Neutral
They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,warranty,Negative
They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,hard drive,Neutral
and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.,price,Negative
A great computer for light home use and business use.,home use,Positive
A great computer for light home use and business use.,business use,Positive
"Even with virus protection, it always turned off when updates were needed and installed.",virus protection,Negative
"Even with virus protection, it always turned off when updates were needed and installed.",updates,Negative
"Also consider the MS Office apps are all trial versions, hope you have your own copies.",MS Office apps,Negative
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",feature,Positive
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",Windows,Positive
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",games,Positive
The battery life is amazingly long at 7hrs and 5hrs if you use it.,battery life,Positive
"lightweight, long battery life, excellent transition from PC;",battery life,Positive
The price is another driving influence that made me purchase this laptop.,price,Positive
